time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
42;-5776;9516;11256;0;0;0;0;0;0;0;0;2048;32768;0;0;0;0;0;95;142;0;0;0;22
43;-5972;9488;11548;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;0;0;0;19
44;-6004;9472;11548;18;0;0;0;0;0;0;0;2048;8192;0;0;0;0;0;95;142;1;0;0;18
45;-5948;9484;11532;18;0;0;0;0;0;0;0;2048;8192;0;0;0;0;0;95;142;1;0;1;16
46;-6008;9540;11532;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;2;1;1;16
47;-5944;9476;11540;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;2;1;2;16
48;-6008;9504;11520;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;3;1;2;17
49;-5944;9540;11532;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;4;1;2;22
50;-5968;9512;11528;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;6;1;3;24
51;-5964;9528;11532;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;6;1;3;24
52;-5956;9496;11520;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;6;1;3;23
53;-5988;9556;11520;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;6;1;3;20
54;-5980;9540;11532;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;6;1;3;19
55;-5984;9492;11532;18;0;0;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;7;1;3;18
56;-5944;9552;11524;18;0;18;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;7;2;4;18
57;-5948;9516;11536;18;0;18;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;6;2;4;21
58;-5972;9496;11544;18;0;18;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;6;2;4;23
59;-5948;9492;11536;18;0;18;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;5;2;4;26
60;-5972;9552;11544;18;0;18;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;6;2;4;30
61;-5984;9516;11544;18;0;18;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;6;2;4;33
62;-5904;9476;11548;18;0;18;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;7;2;4;31
63;-5960;9532;11544;18;0;18;0;0;0;0;0;2048;0;0;0;1;0;0;95;142;7;2;4;31
64;-5916;9508;11568;18;0;18;0;0;0;0;0;2048;0;0;0;3;0;0;95;142;7;2;4;30
65;-5960;9500;11556;18;0;18;0;0;0;0;0;2048;0;0;0;4;0;0;95;142;8;2;4;28
66;-5968;9504;11552;18;0;18;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;7;2;4;24
67;-5948;9492;11560;18;0;18;0;0;0;0;0;2048;0;0;0;0;0;0;95;142;7;2;3;21
