time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
40;1852;18960;-3304;0;0;0;0;0;0;0;0;0;49152;0;0;0;0;0;95;142;0;0;0;65
41;2080;14448;-3228;0;0;0;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;2;3;1;59
42;2916;15168;-2996;0;0;0;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;3;4;3;53
43;2416;17224;-4376;0;0;0;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;6;5;5;51
44;1520;14476;-5192;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;8;8;7;42
45;2852;14340;-5124;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;8;9;8;34
46;3676;13636;-5656;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;9;10;8;28
47;3732;13852;-6352;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;9;10;9;22
48;3428;13936;-6804;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;9;10;10;17
49;3152;14040;-7956;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;7;7;9;14
50;3184;13980;-8356;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;6;6;8;17
51;5152;12188;-7412;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;4;6;9;22
52;5800;12552;-7772;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;3;4;8;39
53;6616;11740;-8468;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;5;4;24;126
54;6780;10332;-8228;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;10;6;28;146
55;6840;12224;-8404;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;14;9;33;132
56;5864;11184;-8360;0;0;26;0;0;0;0;0;0;16384;0;0;0;0;0;95;142;16;9;33;124
57;6024;11760;-8092;0;0;26;0;0;0;0;0;0;8192;0;0;0;0;0;95;142;23;17;45;122
58;5556;12396;-8576;0;0;26;0;0;0;0;0;0;8192;0;0;0;0;0;95;142;28;25;48;108
59;4336;12848;-8200;0;0;26;0;0;0;0;0;0;8192;0;0;0;0;0;95;142;29;25;45;132
60;4552;12940;-7536;0;0;26;0;0;0;0;0;0;8192;0;0;1;0;0;95;142;29;27;48;116
61;4740;12684;-6704;0;0;26;0;0;0;0;0;0;8192;0;0;0;0;0;95;142;28;27;32;90
62;5460;12336;-6104;0;0;26;0;0;0;0;0;0;0;0;0;1;0;0;95;142;23;25;28;72
63;5148;13264;-7196;0;0;26;0;0;0;0;0;0;8192;0;0;11;0;0;95;142;19;22;23;65
64;5444;12784;-7000;0;0;21;0;0;0;0;0;0;8192;0;0;4;0;0;95;142;18;22;25;68
65;5660;12776;-6596;21;0;21;0;0;0;0;0;0;8192;0;0;0;0;0;95;142;12;14;14;109
66;5332;13148;-6836;21;0;21;0;0;0;0;0;0;8192;0;0;0;0;0;95;142;11;7;12;170
67;5724;12872;-7468;21;0;21;0;0;0;0;0;0;8192;0;0;0;0;0;95;142;22;60;20;172
